medicine_name,dosage,unit,manufacturer_id
Augmentin,625mg,strips,mfr_003
Calpol,500mg,strips,mfr_003
Crocin,650mg,strips,mfr_001
Volini,Spray,pcs,mfr_001
Azithromycin,500mg,strips,mfr_002
Cetirizine,10mg,strips,mfr_002
Omez,20mg,strips,mfr_004
Metformin,500mg,strips,mfr_004
Pantop,40mg,strips,mfr_001
Dolo,650mg,strips,mfr_005
Manforce,50mg,tablets,mfr_006
Unwanted-72,1.5mg,tablets,mfr_006
Telekast-L,10mg,strips,mfr_005
Combiflam,400mg,strips,mfr_001
Ascoril,Syrup,bottles,mfr_002
Zinetac,150mg,strips,mfr_003
Nise,100mg,strips,mfr_004
Clavam,625mg,strips,mfr_005
Moxikind-CV,625mg,strips,mfr_006
Pan-40,40mg,strips,mfr_005
Revital,Capsule,bottles,mfr_001
Foracort,Inhaler,pcs,mfr_002
Asthalin,Inhaler,pcs,mfr_002
Betnovate,Cream,tube,mfr_003
Stamlo,5mg,strips,mfr_004
Gluconorm,500mg,strips,mfr_005
Prega News,Kit,pack,mfr_006
Gas-O-Fast,Sachet,pack,mfr_006
Becosules,Capsule,strips,mfr_003
Shelcal,500mg,strips,mfr_004
Allegra,120mg,strips,mfr_002
Sinarest,Tablet,strips,mfr_006
Meftal-Spas,Tablet,strips,mfr_006
Omnigel,Gel,tube,mfr_002
Digene,Gel,bottle,mfr_001
Paracetamol,500mg,strips,mfr_001
