# Ground Truth Dataset for Entity Extraction Evaluation
# Generated from Medicine_Names_Packges.csv
# Instructions: This is auto-generated ground truth for evaluation
# Columns: audio_file, order_index, medicine_name, quantity, dosage, form, manufacturer
audio_file,order_index,medicine_name,quantity,dosage,form,manufacturer
R_001.m4a,1,ACETAMIDE-250,20 packs,-,tablet,Micro Labs Limited
R_002.m4a,2,ACTAVIR-400MG,100 strips,400mg,tablet,Micro Labs Limited
R_003.m4a,3,ALCAFT EYE DROPS,10 boxes,-,syrup,Micro Labs Limited
R_004.m4a,4,ALLERCET,10 boxes,-,tablet,Micro Labs Limited
R_005.m4a,5,ALLERCET COLD,10 strips,-,tablet,Micro Labs Limited
R_006.m4a,6,ALLERCET COLD SYP,50 packs,-,tablet,Micro Labs Limited
R_007.m4a,7,ALLERCET SYP,50 strips,-,syrup,Micro Labs Limited
R_008.m4a,8,ALLERCET-AX SYP,10 packs,-,tablet,Micro Labs Limited
R_009.m4a,9,ALLERCET-AX TAB,20 strips,-,tablet,Micro Labs Limited
R_010.m4a,10,ALLERCET-COLD DROPS 15 ML,10 vials,15ml,tablet,Micro Labs Limited
R_011.m4a,11,ALLERCET-DC,10 boxes,-,tablet,Micro Labs Limited
R_012.m4a,12,ALLERCET-FX TAB,20 strips,-,tablet,Micro Labs Limited
R_013.m4a,13,ALLERCET-KID TAB,20 bottles,-,tablet,Micro Labs Limited
R_014.m4a,14,ALLERCET-L,20 vials,-,tablet,Micro Labs Limited
R_015.m4a,15,ALLERCET-L SYP 30ML,50 packs,30ml,syrup,Micro Labs Limited
R_016.m4a,16,ALLERCET-L SYP 60 ML,5 boxes,60ml,tablet,Micro Labs Limited
R_017.m4a,17,ALLERCET-M KID TAB,20 strips,-,tablet,Micro Labs Limited
R_018.m4a,18,ALLERCET-M SYP,20 vials,-,tablet,Micro Labs Limited
R_019.m4a,19,ALLERCET-M TAB,10 packs,-,tablet,Micro Labs Limited
R_020.m4a,20,AMIODAR-100MG,10 strips,100mg,tablet,Micro Labs Limited
R_001.m4a,21,AMIODAR-200MG,20 packs,200mg,tablet,Micro Labs Limited
R_002.m4a,22,AMLONG-10,10 strips,-,tablet,Micro Labs Limited
R_003.m4a,23,AMLONG-2.5,20 vials,-,tablet,Micro Labs Limited
R_004.m4a,24,AMLONG-5,50 packs,-,tablet,Micro Labs Limited
R_005.m4a,25,AMLONG-A,20 strips,-,tablet,Micro Labs Limited
R_006.m4a,26,AMLONG-A-25,10 strips,-,tablet,Micro Labs Limited
R_007.m4a,27,AMLONG-CT,100 strips,-,tablet,Micro Labs Limited
